Timestamp,BatchKeyPath,GuidFolder,BatchValueName,Type,Name,SerialNumber
2009-07-14 05:08:05.0724063,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\DeviceClasses\{53f56307-b6bf-11d0-94f2-00a0c91efb8b}\##?#SCSI#Disk&Ven_Dell&Prod_VIRTUAL_DISK#6&17b13437&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},{53f56307-b6bf-11d0-94f2-00a0c91efb8b},Multiple,SCSI,Disk&Ven_Dell&Prod_VIRTUAL_DISK,6&17b13437&0&000000
2010-11-21 03:47:00.0880063,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\DeviceClasses\{53f56307-b6bf-11d0-94f2-00a0c91efb8b}\##?#SCSI#Disk&Ven_Dell&Prod_VIRTUAL_DISK#6&3af2ddc5&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},{53f56307-b6bf-11d0-94f2-00a0c91efb8b},Multiple,SCSI,Disk&Ven_Dell&Prod_VIRTUAL_DISK,6&3af2ddc5&0&000000
2025-03-10 05:59:12.2580083,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\DeviceClasses\{53f56307-b6bf-11d0-94f2-00a0c91efb8b}\##?#SCSI#Disk&Ven_VMware_&Prod_VMware_Virtual_S#5&22be343f&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},{53f56307-b6bf-11d0-94f2-00a0c91efb8b},Multiple,SCSI,Disk&Ven_VMware_&Prod_VMware_Virtual_S,5&22be343f&0&000000
2025-03-10 05:59:13.6308107,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\DeviceClasses\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}\##?#FDC#GENERIC_FLOPPY_DRIVE#6&3b4c39bd&0&0#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},Multiple,FDC,GENERIC_FLOPPY_DRIVE,6&3b4c39bd&0&0
2010-11-21 03:47:07.3576190,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\DeviceClasses\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}\##?#IDE#CdRomHL-DT-ST_DVD-ROM_GDR-T10N_______________1.05____#5&23a61b21&0&0.0.0#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},Multiple,IDE,CdRomHL-DT-ST_DVD-ROM_GDR-T10N_______________1.05____,5&23a61b21&0&0.0.0
2009-07-14 05:08:09.9864149,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\DeviceClasses\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}\##?#IDE#CdRomHL-DT-ST_DVD-ROM_GDR-T10N_______________1.05____#5&28836b88&0&0.0.0#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},Multiple,IDE,CdRomHL-DT-ST_DVD-ROM_GDR-T10N_______________1.05____,5&28836b88&0&0.0.0
2025-03-10 05:59:13.5372106,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\DeviceClasses\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}\##?#IDE#CdRomNECVMWar_VMware_SATA_CD01_______________1.00____#6&2848384c&0&1.0.0#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},Multiple,IDE,CdRomNECVMWar_VMware_SATA_CD01_______________1.00____,6&2848384c&0&1.0.0
2009-07-14 05:08:05.1036063,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\DeviceClasses\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}\##?#STORAGE#Volume#{846ee343-7039-11de-9d20-806e6f6e6963}#0000000000007E00#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},Multiple,STORAGE,Volume,{846ee343-7039-11de-9d20-806e6f6e6963}
2009-07-14 05:08:05.1036063,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\DeviceClasses\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}\##?#STORAGE#Volume#{846ee343-7039-11de-9d20-806e6f6e6963}#000000046528EC00#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},Multiple,STORAGE,Volume,{846ee343-7039-11de-9d20-806e6f6e6963}
2009-07-14 05:08:05.1036063,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\DeviceClasses\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}\##?#STORAGE#Volume#{846ee343-7039-11de-9d20-806e6f6e6963}#0000001E628B7200#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},Multiple,STORAGE,Volume,{846ee343-7039-11de-9d20-806e6f6e6963}
2009-07-14 05:08:05.1036063,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\DeviceClasses\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}\##?#STORAGE#Volume#{846ee343-7039-11de-9d20-806e6f6e6963}#00000020D3A1E800#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},Multiple,STORAGE,Volume,{846ee343-7039-11de-9d20-806e6f6e6963}
2009-07-14 05:08:05.1036063,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\DeviceClasses\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}\##?#STORAGE#Volume#{846ee343-7039-11de-9d20-806e6f6e6963}#00000020F3026800#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},Multiple,STORAGE,Volume,{846ee343-7039-11de-9d20-806e6f6e6963}
